! 12 tone chords:
<SCALA_SCALE_DEF 2^(1/12)>
<SCALA_NOTATION E12>
!
1-1  Semitone Trichord   12
1-1-2-3-1  All-interval Hexachord   12478
1-1-3-1-3  Schönberg Anagram Hexachord   12569
1-1-4-2  Bardos Chord   1268
1-2  Phrygian Trichord   13
1-2-2  Dorian Tetrachord   135
1-2-2-1-2  Locrian Hexachord   13568
1-2-4  All-interval Tetrachord 2   137
1-3  Major-Minor Trichord I      14
1-3-1  Chromatic Mezotetrachord     145
1-3-2  All-interval Tetrachord 1        147
1-4-3  Major Seventh 3rd inversion   148
2-1  Minor Trichord      23
2-1-2  Minor Tetrachord, Phrygian Tetrachord     235
2-1-2-2  Minor Pentachord      2357     
2-1-2-2-2  Minor Hexachord      23579
2-2  Whole-Tone Trichord       24
2-2-1  Major Tetrachord, Lydian Tetrachord     245
2-2-1-2  Major Pentachord     2457
2-2-1-2-2  Major Hexachord       24579
2-2-2  Secundal Tetrachord      246
2-2-3  Added Second "2" "add2", Mu Major     247
2-2-3-2  Added Second & Sixth "6/2"    2479
2-3        Second-Fourth Chord "4/2"      25
2-3-2  Second-Fourth-Fifth Chord "sus2,4", "5/4/2"       257
2-3-3  Half-diminished Seventh 3rd inversion        258
2-3-4  Second-Fourth-Sixth Chord "6/4/2", Minor Seventh 3rd inversion      259
2-4  Double Diminished, Augmented Sixth 2nd inversion        26
2-4-3  Double Diminished Seventh, Dominant Seventh 3rd inversion      269
2-5  Suspended Second "sus2", Second-Fifth Chord "5/2"      27
2-5-2  Sixth Suspended Second "6sus2"    279
2-5-3  Dominant Seventh Suspended Second "7sus2"    27A
2-5-4  Major Seventh Suspended Second "maj7sus2"    27B
3-1  Major-Minor Trichord II        34
3-1-3  Major-Minor Tetrachord, Bimodal Chord       347
3-1-4  Augmented-Major Tetrachord       349
3-2        Minor Quartal Triad       35
3-2-3  Third-Fourth Chord "4/3", Minor Seventh 2nd inversion     358
3-2-4  Dominant Seventh 2nd inversion         359
3-3  Diminished "mb5", Minor Trine       36 
3-3-2  Dominant Seventh 1st inversion    368
3-3-3  Diminished Seventh "dim"      369
3-3-3-3  Strawinsky's Sacre-chord    369C
3-3-3-3-2-3-3-3  Alpha Chord        363CEHKN
3-3-4  Half-diminished Seventh "m7b5", Eulenspiegel Chord       36A
3-3-5  Diminished-Major Seventh "mmaj7b5"     36B
3-4  Minor Triad "m"      37
3-4-1  Major Seventh 1st inversion        378
3-4-2  Minor Sixth "m6"          379
3-4-2-5  Minor Sixth Added Ninth "m6/9"         379E
3-4-3  Minor Seventh "m7"       37A
3-4-3-4  Minor Ninth "m9"        37AE
3-4-3-4-3  Minor Eleventh "m11"       37AEH    
3-4-3-4-3-4  Minor Thirteenth "m13"       37AEHL
3-4-4  Minor-Major Seventh "mmaj7"      37B 
3-4-4-3  Minor-Major Ninth "mmaj9"    37BE
3-4-4-3-7  Minor-Major Thirteenth "mmaj13"    37BEL
3-4-7  Minor Added Ninth "madd9"      37E
3-5  Neapolitan Sixth, Major Triad 1st inversion     38
3-5-3  Major Seventh Augmented Fifth "maj7#5"    38B
3-6  Minor Trine 1st inversion    39
3-6-3  Sixths Chord      39C
3-7  Minor Quintal Triad     3A
4-1-2  Added Fourth "add4"     457
4-1-4  Major Seventh 2nd inversion   459
4-2  Hard-diminished "b5"   46
4-2-2-5 Enigmatic Pentachord    468D
4-2-2-7 Augmented-Diminished Ninth    468F
4-2-3  Half-diminished Seventh 2nd inversion   469
4-2-4  Hard-diminished Seventh "7b5", French Sixth     46A
4-2-4-3  Hard-diminished Minor Ninth "b9b5"    46AD
4-2-4-3-8  Hard-diminished Minor Ninth Added Thirteenth "13b9b5"   46ADL
4-2-4-4  Hard-diminished Ninth "9b5"        46AE
4-2-4-5  Hard-diminished Seventh & Augmented Ninth "#9b5"     46AF
4-2-8  Hard-diminished Added Ninth "b5add9"     46E
4-3  Major Triad "maj"      47
